baseline config=3ms
18:47:21 tasks=5ms(ok=True) config=3ms(ok=True)
18:47:23 tasks=2ms(ok=True) config=3ms(ok=True)
18:47:25 tasks=3ms(ok=True) config=3ms(ok=True)
18:47:27 tasks=3ms(ok=True) config=2ms(ok=True)
18:47:29 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:31 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:33 tasks=2ms(ok=True) config=1ms(ok=True)
18:47:35 tasks=3ms(ok=True) config=2ms(ok=True)
18:47:37 tasks=3ms(ok=True) config=2ms(ok=True)
18:47:39 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:41 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:43 tasks=6ms(ok=True) config=3ms(ok=True)
18:47:45 tasks=8ms(ok=True) config=6ms(ok=True)
18:47:47 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:49 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:51 tasks=2ms(ok=True) config=1ms(ok=True)
18:47:53 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:55 tasks=7ms(ok=True) config=4ms(ok=True)
18:47:57 tasks=2ms(ok=True) config=2ms(ok=True)
18:47:59 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:01 tasks=2ms(ok=True) config=4ms(ok=True)
18:48:03 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:05 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:07 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:09 tasks=5ms(ok=True) config=2ms(ok=True)
18:48:11 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:13 tasks=4ms(ok=True) config=5ms(ok=True)
18:48:15 tasks=3ms(ok=True) config=2ms(ok=True)
18:48:17 tasks=3ms(ok=True) config=2ms(ok=True)
18:48:19 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:21 tasks=5ms(ok=True) config=1ms(ok=True)
18:48:23 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:25 tasks=2ms(ok=True) config=3ms(ok=True)
18:48:27 tasks=1ms(ok=True) config=1ms(ok=True)
18:48:29 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:31 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:33 tasks=9ms(ok=True) config=2ms(ok=True)
18:48:35 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:37 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:39 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:41 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:43 tasks=2ms(ok=True) config=1ms(ok=True)
18:48:45 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:47 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:49 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:51 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:53 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:55 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:57 tasks=2ms(ok=True) config=2ms(ok=True)
18:48:59 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:01 tasks=2ms(ok=True) config=3ms(ok=True)
18:49:03 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:05 tasks=2ms(ok=True) config=3ms(ok=True)
18:49:07 tasks=2ms(ok=True) config=1ms(ok=True)
18:49:09 tasks=5ms(ok=True) config=3ms(ok=True)
18:49:11 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:13 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:15 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:17 tasks=2ms(ok=True) config=1ms(ok=True)
18:49:19 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:21 tasks=2ms(ok=True) config=1ms(ok=True)
18:49:23 tasks=3ms(ok=True) config=2ms(ok=True)
18:49:25 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:27 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:29 tasks=2ms(ok=True) config=1ms(ok=True)
18:49:31 tasks=2ms(ok=True) config=3ms(ok=True)
18:49:33 tasks=2ms(ok=True) config=3ms(ok=True)
18:49:35 tasks=2ms(ok=True) config=2ms(ok=True)
18:49:37 tasks=5ms(ok=True) config=7ms(ok=True)
