baseline config=4ms
18:57:25 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:27 tasks=3ms(ok=True) config=2ms(ok=True)
18:57:29 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:31 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:33 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:35 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:37 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:39 tasks=3ms(ok=True) config=4ms(ok=True)
18:57:41 tasks=3ms(ok=True) config=2ms(ok=True)
18:57:43 tasks=2ms(ok=True) config=1ms(ok=True)
18:57:45 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:47 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:49 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:51 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:53 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:55 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:57 tasks=2ms(ok=True) config=2ms(ok=True)
18:57:59 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:01 tasks=2ms(ok=True) config=1ms(ok=True)
18:58:03 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:05 tasks=2ms(ok=True) config=1ms(ok=True)
18:58:07 tasks=1ms(ok=True) config=1ms(ok=True)
18:58:09 tasks=2ms(ok=True) config=1ms(ok=True)
18:58:11 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:13 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:15 tasks=2ms(ok=True) config=3ms(ok=True)
18:58:17 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:19 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:21 tasks=2ms(ok=True) config=1ms(ok=True)
18:58:23 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:25 tasks=3ms(ok=True) config=3ms(ok=True)
18:58:27 tasks=2ms(ok=True) config=2ms(ok=True)
18:58:29 tasks=2ms(ok=True) config=2ms(ok=True)
